id,site,location,treatment,datetime,temp,day,hour
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T08:00:00Z,13,158,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T09:00:00Z,13,158,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T10:00:00Z,13,158,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T11:00:00Z,13,158,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T12:00:00Z,13.5,158,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T13:00:00Z,13.5,158,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T14:00:00Z,13.5,158,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T15:00:00Z,13,158,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T16:00:00Z,13,158,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T17:00:00Z,13,158,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T18:00:00Z,13,158,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T19:00:00Z,12.5,158,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T20:00:00Z,13,158,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T21:00:00Z,13,158,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T22:00:00Z,12.5,158,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-06T23:00:00Z,12.5,158,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T00:00:00Z,12,159,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T01:00:00Z,12,159,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T02:00:00Z,11.5,159,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T03:00:00Z,11.5,159,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T04:00:00Z,12,159,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T05:00:00Z,12,159,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T06:00:00Z,11.5,159,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T07:00:00Z,12,159,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T08:00:00Z,12,159,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T09:00:00Z,12.5,159,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T10:00:00Z,12.5,159,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T11:00:00Z,12.5,159,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T12:00:00Z,12.5,159,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T13:00:00Z,12.5,159,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T14:00:00Z,12.5,159,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T15:00:00Z,12.5,159,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T16:00:00Z,12.5,159,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T17:00:00Z,12.5,159,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T18:00:00Z,12.5,159,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T19:00:00Z,12.5,159,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T20:00:00Z,12.5,159,20
